X--Trace 1::[V(4)],Y--Trace 1::[V(4)],,X--Trace 2::[I(R1)],Y--Trace 2::[I(R1)],,X--Trace 3::[P(R1)],Y--Trace 3::[P(R1)]
0,2.56247e-19,,0,8.54156e-22,,0,2.18875e-40
5.20833e-06,3.55738e-08,,5.20833e-06,1.18579e-10,,5.20833e-06,4.21831e-18
5.45127e-06,3.75532e-08,,5.45127e-06,1.25177e-10,,5.45127e-06,4.70081e-18
5.93715e-06,4.1869e-08,,5.93715e-06,1.39563e-10,,5.93715e-06,5.84337e-18
6.90891e-06,5.27133e-08,,6.90891e-06,1.75711e-10,,6.90891e-06,9.2623e-18
8.85242e-06,8.4969e-08,,8.85242e-06,2.8323e-10,,8.85242e-06,2.40658e-17
1.27394e-05,2.0637e-07,,1.27394e-05,6.87901e-10,,1.27394e-05,1.41962e-16
1.95967e-05,7.05421e-07,,1.95967e-05,2.3514e-09,,1.95967e-05,1.65873e-15
2.86185e-05,2.29234e-06,,2.86185e-05,7.64113e-09,,2.86185e-05,1.75161e-14
4.12898e-05,8.06753e-06,,4.12898e-05,2.68918e-08,,4.12898e-05,2.1695e-13
5.70468e-05,2.84907e-05,,5.70468e-05,9.49691e-08,,5.70468e-05,2.70574e-12
7.6132e-05,0.00010873,,7.6132e-05,3.62433e-07,,7.6132e-05,3.94073e-11
9.80353e-05,0.000454602,,9.80353e-05,1.51534e-06,,9.80353e-05,6.88877e-10
0.000122543,0.00212616,,0.000122543,7.08718e-06,,0.000122543,1.50685e-08
0.000149437,0.0107239,,0.000149437,3.57465e-05,,0.000149437,3.83343e-07
0.000167162,0.0286886,,0.000167162,9.56286e-05,,0.000167162,2.74345e-06
0.000185348,0.0659696,,0.000185348,0.000219899,,0.000185348,1.45066e-05
0.000211103,0.16172,,0.000211103,0.000539067,,0.000211103,8.71781e-05
0.000249792,0.37569,,0.000249792,0.0012523,,0.000249792,0.000470477
0.000284724,0.596454,,0.000284724,0.00198818,,0.000284724,0.00118586
0.000333215,0.905008,,0.000333215,0.00301669,,0.000333215,0.00273013
0.000384588,1.23133,,0.000384588,0.00410443,,0.000384588,0.00505389
0.000487335,1.88124,,0.000487335,0.0062708,,0.000487335,0.0117969
0.000692829,3.16655,,0.000692829,0.0105552,,0.000692829,0.0334234
0.00110382,5.65288,,0.00110382,0.0188429,,0.00110382,0.106517
0.00162465,8.56472,,0.00162465,0.0285491,,0.00162465,0.244515
0.00214548,11.1072,,0.00214548,0.0370241,,0.00214548,0.411236
0.00266632,13.1844,,0.00266632,0.0439481,,0.00266632,0.57943
0.00318715,14.7212,,0.00318715,0.0490707,,0.00318715,0.72238
0.00370798,15.6684,,0.00370798,0.0522279,,0.00370798,0.818326
0.00422882,16.0227,,0.00422882,0.053409,,0.00422882,0.855757
0.00474965,15.9257,,0.00474965,0.0530855,,0.00474965,0.845422
0.00507454,15.7599,,0.00507454,0.0525328,,0.00507454,0.82791
0.00516765,15.711,,0.00516765,0.0523701,,0.00516765,0.822789
0.00525792,15.6638,,0.00525792,0.0522128,,0.00525792,0.817852
0.00540445,15.5875,,0.00540445,0.0519583,,0.00540445,0.8099
0.00569751,15.4359,,0.00569751,0.0514531,,0.00569751,0.794227
0.00621835,15.1702,,0.00621835,0.0505673,,0.00621835,0.767116
0.00673918,14.909,,0.00673918,0.0496967,,0.00673918,0.74093
0.00726001,14.6524,,0.00726001,0.0488412,,0.00726001,0.715638
0.00778085,14.4001,,0.00778085,0.0480003,,0.00778085,0.69121
0.00830168,14.1522,,0.00830168,0.047174,,0.00830168,0.667615
0.00882251,13.9085,,0.00882251,0.0463618,,0.00882251,0.644825
0.00934335,13.6691,,0.00934335,0.0455636,,0.00934335,0.622814
0.00986418,13.4338,,0.00986418,0.0447792,,0.00986418,0.601553
0.010385,13.2025,,0.010385,0.0440083,,0.010385,0.581019
0.0109058,13.0902,,0.0109058,0.043634,,0.0109058,0.571179
0.0114267,14.419,,0.0114267,0.0480632,,0.0114267,0.693021
0.0118507,15.5219,,0.0118507,0.0517396,,0.0118507,0.803097
0.012253,15.8367,,0.012253,0.0527889,,0.012253,0.836001
0.0124959,15.9783,,0.0124959,0.053261,,0.0124959,0.85102
0.012625,16.0116,,0.012625,0.0533721,,0.012625,0.854574
0.0127643,16.0067,,0.0127643,0.0533558,,0.0127643,0.854052
0.0129805,15.9418,,0.0129805,0.0531392,,0.0129805,0.847132
0.0131878,15.8445,,0.0131878,0.052815,,0.0131878,0.836828
0.0133572,15.7568,,0.0133572,0.0525228,,0.0133572,0.827594
0.0135264,15.6683,,0.0135264,0.0522278,,0.0135264,0.818323
0.013679,15.5889,,0.013679,0.0519629,,0.013679,0.810043
0.0139511,15.4481,,0.0139511,0.0514935,,0.0139511,0.795476
0.0144719,15.1821,,0.0144719,0.0506071,,0.0144719,0.768322
0.0149667,14.9337,,0.0149667,0.049779,,0.0149667,0.743384
0.0154876,14.6766,,0.0154876,0.048922,,0.0154876,0.718007
0.0160084,14.4239,,0.0160084,0.0480797,,0.0160084,0.693497
0.0165292,14.1756,,0.0165292,0.047252,,0.0165292,0.669824
0.0170501,13.9315,,0.0170501,0.0464385,,0.0170501,0.646959
0.0175709,13.6917,,0.0175709,0.045639,,0.0175709,0.624875
0.0180917,13.456,,0.0180917,0.0448532,,0.0180917,0.603544
0.0186126,13.2243,,0.0186126,0.044081,,0.0186126,0.582941
0.0191334,13.0028,,0.0191334,0.0433425,,0.0191334,0.563573
0.0196542,14.1463,,0.0196542,0.0471542,,0.0196542,0.667056
0.020075,15.2806,,0.020075,0.0509354,,0.020075,0.778323
0.0204733,15.7403,,0.0204733,0.0524677,,0.0204733,0.825858
0.0207253,15.9469,,0.0207253,0.0531564,,0.0207253,0.847681
0.0208589,16.0054,,0.0208589,0.0533514,,0.0208589,0.853912
0.0210099,16.022,,0.0210099,0.0534066,,0.0210099,0.855679
0.0212526,15.9697,,0.0212526,0.0532324,,0.0212526,0.850106
0.0214843,15.867,,0.0214843,0.05289,,0.0214843,0.839207
0.0217012,15.7553,,0.0217012,0.0525178,,0.0217012,0.827437
0.0218719,15.6661,,0.0218719,0.0522203,,0.0218719,0.818087
0.0220393,15.5789,,0.0220393,0.0519297,,0.0220393,0.809008
0.02234,15.4235,,0.02234,0.0514116,,0.02234,0.792946
0.0228609,15.158,,0.0228609,0.0505265,,0.0228609,0.765879
0.0233557,14.9099,,0.0233557,0.0496998,,0.0233557,0.74102
0.0238765,14.6532,,0.0238765,0.0488441,,0.0238765,0.715724
0.0243973,14.401,,0.0243973,0.0480032,,0.0243973,0.691291
0.0249182,14.153,,0.0249182,0.0471768,,0.0249182,0.667694
0.025439,13.9094,,0.025439,0.0463646,,0.025439,0.644902
0.0259598,13.6699,,0.0259598,0.0455663,,0.0259598,0.622887
0.0264807,13.4346,,0.0264807,0.0447819,,0.0264807,0.601624
0.0270015,13.2033,,0.0270015,0.0440109,,0.0270015,0.581087
0.0275223,13.0162,,0.0275223,0.0433873,,0.0275223,0.564736
0.0280432,14.2882,,0.0280432,0.0476274,,0.0280432,0.68051
0.0284668,15.4257,,0.0284668,0.0514191,,0.0284668,0.793179
0.0288686,15.7942,,0.0288686,0.0526472,,0.0288686,0.831518
0.0291161,15.9655,,0.0291161,0.0532184,,0.0291161,0.849659
0.0292462,16.0105,,0.0292462,0.0533683,,0.0292462,0.854454
0.0293879,16.0154,,0.0293879,0.0533848,,0.0293879,0.854982
0.0296036,15.9608,,0.0296036,0.0532026,,0.0296036,0.849154
0.0298088,15.8688,,0.0298088,0.0528959,,0.0298088,0.839394
0.0300164,15.7623,,0.0300164,0.0525409,,0.0300164,0.828163
0.0301825,15.6754,,0.0301825,0.0522514,,0.0301825,0.819061
0.030346,15.5902,,0.030346,0.0519674,,0.030346,0.810182
0.0306234,15.4467,,0.0306234,0.0514889,,0.0306234,0.795332
0.0311443,15.1807,,0.0311443,0.0506025,,0.0311443,0.768183
0.031639,14.9323,,0.031639,0.0497745,,0.031639,0.74325
0.0321599,14.6753,,0.0321599,0.0489175,,0.0321599,0.717878
0.0326807,14.4226,,0.0326807,0.0480754,,0.0326807,0.693372
0.0332015,14.1743,,0.0332015,0.0472477,,0.0332015,0.669703
0.0337224,13.9303,,0.0337224,0.0464343,,0.0337224,0.646842
0.0342432,13.6905,,0.0342432,0.0456349,,0.0342432,0.624762
0.034764,13.4548,,0.034764,0.0448492,,0.034764,0.603435
0.0352849,13.2231,,0.0352849,0.0440771,,0.0352849,0.582836
0.0358057,13.003,,0.0358057,0.0433433,,0.0358057,0.563592
0.0363265,14.1607,,0.0363265,0.0472024,,0.0363265,0.668421
0.0367477,15.2962,,0.0367477,0.0509874,,0.0367477,0.779914
0.0371466,15.7461,,0.0371466,0.052487,,0.0371466,0.826466
0.0373978,15.949,,0.0373978,0.0531633,,0.0373978,0.847901
0.0375308,16.0061,,0.0375308,0.0533537,,0.0375308,0.853984
0.0376803,16.0215,,0.0376803,0.053405,,0.0376803,0.855629
0.0379183,15.9698,,0.0379183,0.0532327,,0.0379183,0.850115
0.0381453,15.8695,,0.0381453,0.0528983,,0.0381453,0.839469
0.0383654,15.7563,,0.0383654,0.0525211,,0.0383654,0.827541
0.038538,15.6661,,0.038538,0.0522203,,0.038538,0.818088
0.0387071,15.578,,0.0387071,0.0519267,,0.0387071,0.808914
0.0390085,15.4222,,0.0390085,0.0514075,,0.0390085,0.792818
0.0395294,15.1567,,0.0395294,0.0505224,,0.0395294,0.765755
0.0400242,14.9087,,0.0400242,0.0496957,,0.0400242,0.7409
0.040545,14.652,,0.040545,0.0488402,,0.040545,0.715608
0.0410658,14.3998,,0.0410658,0.0479993,,0.0410658,0.69118
0.0415867,14.1519,,0.0415867,0.0471729,,0.0415867,0.667586
0.0421075,13.9082,,0.0421075,0.0463608,,0.0421075,0.644797
0.0426283,13.6688,,0.0426283,0.0455627,,0.0426283,0.622787
0.0431492,13.4335,,0.0431492,0.0447782,,0.0431492,0.601527
0.04367,13.2022,,0.04367,0.0440073,,0.04367,0.580993
0.0441908,13.0174,,0.0441908,0.0433912,,0.0441908,0.564838
0.0447117,14.2929,,0.0447117,0.0476431,,0.0447117,0.680959
0.0451353,15.43,,0.0451353,0.0514333,,0.0451353,0.793615
0.0455372,15.7958,,0.0455372,0.0526527,,0.0455372,0.831693
0.0457846,15.966,,0.0457846,0.0532201,,0.0457846,0.849715
0.0459146,16.0106,,0.0459146,0.0533686,,0.0459146,0.854463
0.0460562,16.0152,,0.0460562,0.0533839,,0.0460562,0.854952
0.0462715,15.9602,,0.0462715,0.0532007,,0.0462715,0.849094
0.0464765,15.8682,,0.0464765,0.052894,,0.0464765,0.839334
0.0466828,15.7624,,0.0466828,0.0525412,,0.0466828,0.828174
0.0468481,15.6759,,0.0468481,0.052253,,0.0468481,0.819111
0.047011,15.591,,0.047011,0.0519701,,0.047011,0.810267
0.047287,15.4482,,0.047287,0.051494,,0.047287,0.79549
0.0478078,15.1823,,0.0478078,0.0506075,,0.0478078,0.768336
0.0483026,14.9338,,0.0483026,0.0497794,,0.0483026,0.743398
0.0488234,14.6767,,0.0488234,0.0489224,,0.0488234,0.718021
0.0493443,14.424,,0.0493443,0.0480801,,0.0493443,0.69351
0.0498651,14.1757,,0.0498651,0.0472524,,0.0498651,0.669836
0.0503859,13.9317,,0.0503859,0.0464389,,0.0503859,0.646971
0.0509068,13.6918,,0.0509068,0.0456394,,0.0509068,0.624886
0.0514276,13.4561,,0.0514276,0.0448537,,0.0514276,0.603555
0.0519484,13.2244,,0.0519484,0.0440814,,0.0519484,0.582952
0.0524693,13.0034,,0.0524693,0.0433448,,0.0524693,0.563631
0.0529901,14.1528,,0.0529901,0.0471759,,0.0529901,0.66767
0.053411,15.2875,,0.053411,0.0509582,,0.053411,0.779021
0.0538096,15.7429,,0.0538096,0.0524764,,0.0538096,0.82613
0.0540612,15.9479,,0.0540612,0.0531595,,0.0540612,0.847781
0.0541946,16.0057,,0.0541946,0.0533525,,0.0541946,0.853946
0.0543449,16.0218,,0.0543449,0.0534059,,0.0543449,0.855657
0.0545856,15.9697,,0.0545856,0.0532324,,0.0545856,0.850106
0.0548153,15.868,,0.0548153,0.0528934,,0.0548153,0.839313
0.0550336,15.7557,,0.0550336,0.0525191,,0.0550336,0.827478
0.0552051,15.666,,0.0552051,0.0522202,,0.0552051,0.818084
0.0553732,15.5785,,0.0553732,0.0519282,,0.0553732,0.808962
0.0556744,15.4228,,0.0556744,0.0514094,,0.0556744,0.792879
0.0561952,15.1573,,0.0561952,0.0505244,,0.0561952,0.765814
0.05669,14.9093,,0.05669,0.0496977,,0.05669,0.740957
0.0572109,14.6526,,0.0572109,0.048842,,0.0572109,0.715663
0.0577317,14.4003,,0.0577317,0.0480011,,0.0577317,0.691233
0.0582525,14.1524,,0.0582525,0.0471748,,0.0582525,0.667637
0.0587734,13.9088,,0.0587734,0.0463626,,0.0587734,0.644847
0.0592942,13.6693,,0.0592942,0.0455644,,0.0592942,0.622835
0.059815,13.434,,0.059815,0.04478,,0.059815,0.601573
0.0603359,13.2027,,0.0603359,0.044009,,0.0603359,0.581038
0.0608567,13.0168,,0.0608567,0.0433895,,0.0608567,0.564794
0.0613775,14.2908,,0.0613775,0.0476361,,0.0613775,0.680759
0.0618012,15.4281,,0.0618012,0.051427,,0.0618012,0.793421
0.062203,15.7951,,0.062203,0.0526503,,0.062203,0.831615
0.0624504,15.9658,,0.0624504,0.0532194,,0.0624504,0.84969
0.0625805,16.0106,,0.0625805,0.0533685,,0.0625805,0.854459
0.0627221,16.0153,,0.0627221,0.0533843,,0.0627221,0.854965
0.0629376,15.9605,,0.0629376,0.0532015,,0.0629376,0.849121
0.0631427,15.8685,,0.0631427,0.0528949,,0.0631427,0.839361
0.0633496,15.7623,,0.0633496,0.0525411,,0.0633496,0.828169
0.0635153,15.6757,,0.0635153,0.0522522,,0.0635153,0.819089
0.0636784,15.5907,,0.0636784,0.0519689,,0.0636784,0.810229
0.063955,15.4475,,0.063955,0.0514917,,0.063955,0.79542
0.0644759,15.1816,,0.0644759,0.0506053,,0.0644759,0.768268
0.0649707,14.9332,,0.0649707,0.0497772,,0.0649707,0.743332
0.0654915,14.6761,,0.0654915,0.0489202,,0.0654915,0.717957
0.0660123,14.4234,,0.0660123,0.048078,,0.0660123,0.693448
0.0665332,14.1751,,0.0665332,0.0472503,,0.0665332,0.669777
0.067054,13.931,,0.067054,0.0464368,,0.067054,0.646914
0.0675748,13.6912,,0.0675748,0.0456374,,0.0675748,0.624831
0.0680957,13.4555,,0.0680957,0.0448517,,0.0680957,0.603501
0.0686165,13.2238,,0.0686165,0.0440795,,0.0686165,0.5829
0.0691373,13.0032,,0.0691373,0.0433441,,0.0691373,0.563612
0.0696582,14.1563,,0.0696582,0.0471878,,0.0696582,0.668006
0.0700792,15.2914,,0.0700792,0.0509713,,0.0700792,0.779421
0.0704779,15.7443,,0.0704779,0.0524811,,0.0704779,0.826281
0.0707293,15.9484,,0.0707293,0.0531612,,0.0707293,0.847835
0.0708625,16.0059,,0.0708625,0.053353,,0.0708625,0.853963
0.0710125,16.0217,,0.0710125,0.0534055,,0.0710125,0.855645
0.0712519,15.9698,,0.0712519,0.0532326,,0.0712519,0.850112
0.0714804,15.8687,,0.0714804,0.0528957,,0.0714804,0.839386
